Input Address: 0, Input Data: -15487858
Input: -23138645, Weight: 2147187788, Multiplication Result: -49683015974867260, Accumulation Result: 8001772662
Input: -23138645, Weight: 2147187788, Multiplication Result: -49683015974867260, Accumulation Result: 9335401439
Input: -23138645, Weight: 2147187788, Multiplication Result: -49683015974867260, Accumulation Result: 9335401439
Input: -23138645, Weight: 2147187788, Multiplication Result: -49683015974867260, Accumulation Result: 10669030216
Input: -23138645, Weight: 2147187788, Multiplication Result: -49683015974867260, Accumulation Result: 10669030216
Input: -23138645, Weight: 2147187788, Multiplication Result: -49683015974867260, Accumulation Result: 12002658993
Input Address: 10, Input Data: -27973642
Output Address: 0000001010, Output Data (Fixed): 1258, Output Data (Float): 7.49826431274414e-05
Input: -27973642, Weight: 2146482036, Multiplication Result: -60044920034495112, Accumulation Result: 21114017041
Input: -27973642, Weight: 2146482036, Multiplication Result: -60044920034495112, Accumulation Result: 0
Input: -27973642, Weight: 2146482036, Multiplication Result: -60044920034495112, Accumulation Result: 0
Input: -27973642, Weight: 2146482036, Multiplication Result: -60044920034495112, Accumulation Result: 716011166
Input: -27973642, Weight: 2146482036, Multiplication Result: -60044920034495112, Accumulation Result: 716011166
Input: -27973642, Weight: 2146482036, Multiplication Result: -60044920034495112, Accumulation Result: 1432022332
Input: -27973642, Weight: 2146482036, Multiplication Result: -60044920034495112, Accumulation Result: 1432022332
Input: -27973642, Weight: 2146482036, Multiplication Result: -60044920034495112, Accumulation Result: 2148033498
Input: -27973642, Weight: 2146482036, Multiplication Result: -60044920034495112, Accumulation Result: 2148033498
Input: -27973642, Weight: 2146482036, Multiplication Result: -60044920034495112, Accumulation Result: 2864044664
Input: -27973642, Weight: 2146482036, Multiplication Result: -60044920034495112, Accumulation Result: 2864044664
Input: -27973642, Weight: 2146482036, Multiplication Result: -60044920034495112, Accumulation Result: 3580055830
Input: -27973642, Weight: 2146482036, Multiplication Result: -60044920034495112, Accumulation Result: 3580055830
Input: -27973642, Weight: 2146482036, Multiplication Result: -60044920034495112, Accumulation Result: 4296066996
Input: -27973642, Weight: 2146482036, Multiplication Result: -60044920034495112, Accumulation Result: 4296066996
Input: -27973642, Weight: 2146482036, Multiplication Result: -60044920034495112, Accumulation Result: 5012078162
Input: -27973642, Weight: 2146482036, Multiplication Result: -60044920034495112, Accumulation Result: 5012078162
Input: -27973642, Weight: 2146482036, Multiplication Result: -60044920034495112, Accumulation Result: 5728089328
Input: -27973642, Weight: 2146482036, Multiplication Result: -60044920034495112, Accumulation Result: 5728089328
Input: -27973642, Weight: 2146482036, Multiplication Result: -60044920034495112, Accumulation Result: 6444100494
Input Address: 11, Input Data: -25489838
Output Address: 0000001011, Output Data (Fixed): 1023, Output Data (Float): 6.097555160522461e-05
Input: -25489838, Weight: 2146712332, Multiplication Result: -54719349575282216, Accumulation Result: 17177081944
Input: -25489838, Weight: 2146712332, Multiplication Result: -54719349575282216, Accumulation Result: 0
Input: -25489838, Weight: 2146712332, Multiplication Result: -54719349575282216, Accumulation Result: 0
Input: -25489838, Weight: 2146712332, Multiplication Result: -54719349575282216, Accumulation Result: 1033439902
Input: -25489838, Weight: 2146712332, Multiplication Result: -54719349575282216, Accumulation Result: 1033439902
Input: -25489838, Weight: 2146712332, Multiplication Result: -54719349575282216, Accumulation Result: 2066879804
Input: -25489838, Weight: 2146712332, Multiplication Result: -54719349575282216, Accumulation Result: 2066879804
